R,G,B
111.5476945375487,106.15744179726424,105.98894827430021
111.55158981791828,106.11957604855512,105.8800615997826
111.48419240873268,106.12664190596975,105.95742367968113
111.46643717728055,106.04094573783857,105.77570432104358
111.37376573965032,106.0174834677054,105.83123471328925
111.57405562098016,106.15789473684211,105.9092309085968
111.53700516351118,106.18017936407283,106.01431289066039
111.5986049461002,106.16722529214603,105.92028263429658
111.55793097200834,106.16351118760757,106.00416704411631
111.63022012863485,106.17021469335991,105.90995561192138
111.57550502762932,106.20164870006342,106.0217410997373
111.69825165322946,106.24603677869372,106.00208352205816
111.62931424947912,106.26515082887943,106.11196666364707
111.755503215871,106.33870821632394,106.09701965757768
111.66011414077362,106.31098831415889,106.12193133436
111.63311894193315,106.24205091040855,105.97010598786122
111.60612374309267,106.30455657215327,106.1297218950992
111.68638463628952,106.33064589183803,106.07174562913308
111.65948002536462,106.38219041579853,106.20282634296585
111.72896095660839,106.38835039405743,106.12473955974274
111.55584744995018,106.30446598423771,106.11169489990036
111.59353202282816,106.29268955521333,106.0139505389981
111.65404475043029,106.41425853791104,106.24331914122656
111.75867379291603,106.46679952894284,106.22755684391703
111.71908687381104,106.49832412356191,106.33191412265604
111.6799528942839,106.42413262070839,106.17157351209349
111.52414167949995,106.32548238065043,106.16242413262071
111.57305915390887,106.26270495515898,106.04176102907871
111.46698070477399,106.18706404565631,106.04764924359091
111.52414167949995,106.13171482924177,105.90968384817465
111.45221487453574,106.12265603768458,105.98523416976175
111.48065948002537,106.06196213425129,105.83839115861944
111.38798804239515,106.05281275477851,105.89609566083884
111.53917927348492,106.14475948908415,105.9092309085968
111.51109701965758,106.18670169399402,106.0437539632213
111.61237430926714,106.23081800887762,106.01666817646526
111.49316061237431,106.1683123471329,106.01965757767914
111.56572153274753,106.14394419784401,105.92236615635474
111.5265875532204,106.1611559018027,106.01811758311442
111.63719539813388,106.20509104085515,105.99456472506567
111.59489084156174,106.23552858048737,106.09285261346136
111.66129178367606,106.2619802518344,106.04900806232449
111.54162514720537,106.20291693088141,106.04176102907871
111.5859226379201,106.16641000090588,105.9429296131896
111.6407283268412,106.31868828698252,106.17981701241054
111.71365159887671,106.33807410091494,106.1147748890298
111.7208080442069,106.41670441163149,106.27058610381376
111.79128544252197,106.41588912039134,106.18815110064317
111.70993749433825,106.41135972461274,106.28218135700698
111.75559380378658,106.39034332820002,106.1705770450222
111.73593622610744,106.46136425400852,106.30709303378929
111.80532656943564,106.4824712383368,106.26578494428843
111.76175378204547,106.53700516351118,106.38373041036326
111.79599601413172,106.49035238699157,106.25953437811395
111.69888576863846,106.46978893015671,106.32086239695624
111.8090406739741,106.50828879427485,106.29287073104447
111.67795996014132,106.39541625147206,106.26922728508018
111.70486457106622,106.30183893468612,106.12356191684029
111.62052722166862,106.26596612011957,106.15798532475768
111.61137784219585,106.1549959235438,105.95543074553855
111.50303469517166,106.12383368058701,105.98822357097563
111.66174472325392,106.2127004257632,106.00208352205816
111.63194129903071,106.27420962043664,106.15526768729052
111.7801431289066,106.34269408460911,106.16477941842558
111.6290424857324,106.27221668629404,106.14059244496784
111.63628951897817,106.19394872723979,105.98487181809946
111.57604855512275,106.1925899085062,106.07319503578222
111.65585650874173,106.19884047468068,106.00344234079174
111.60277199021651,106.22375215146299,106.09412084427937
111.71600688468159,106.26442612555485,106.07074916206179
111.56698976356554,106.19385813932422,106.05136334812936
111.61790017211705,106.16885587462633,105.96086602047286
111.65766826705317,106.29142132439533,106.16441706676329
111.71926804964218,106.3034695171664,106.0901349759942
111.6507835854697,106.30890479210073,106.17945466074826
111.72742096204367,106.32829060603315,106.12428662016487
111.60884138055984,106.2937766102002,106.13434187879336
111.68719992752966,106.28834133526587,106.07509738200925
111.66554941570794,106.36398224476855,106.22520155811215
111.76121025455204,106.38635745991485,106.17619349578766
111.73820092399674,106.46027719902165,106.32339885859227
111.72252921460277,106.38952803695987,106.15671709393966
111.60023552858048,106.34595524956971,106.18697345774073
111.77289609566084,106.45592897907419,106.23869915753238
111.67388350394057,106.42884319231814,106.29259896729776
111.67352115227828,106.32104357278739,106.11631488359453
111.52432285533109,106.19331461183079,106.06667270586104
111.50412175015853,106.06730682127004,105.86855693450494
111.39840565268594,106.04764924359091,105.90886855693451
111.5813932421415,106.15245946190778,105.94673430564363
111.59316967116587,106.23407917383821,106.1108796086602
111.7324938853157,106.28118488993569,106.05697979889483
111.61237430926714,106.24259443790199,106.09883141588912
111.54488631216596,106.11287254280279,105.88468158347676
111.45085605580216,106.08660204728689,105.94311078902075
111.62297309538907,106.15916296766011,105.94881782770179
111.63882598061419,106.27520608750793,106.1465712473956
111.72107980795361,106.26560376845728,106.05326569435637
111.47839478213606,106.1141407736208,105.96929069662107
111.50674879971012,106.07464444243138,105.82661472959508
111.62741190325211,106.27955430745538,106.13099012591721
111.7055892743908,106.28689192861673,106.06757858501676
111.64797536008696,106.32611649605943,106.18434640818914
111.68230818008878,106.28834133526587,106.0638644804783
111.58193676963494,106.25672615273123,106.10327022375215
111.6037684572878,106.23009330555304,105.99085062052723
111.59670259987318,106.30781773711387,106.1488359452849
111.73584563819186,106.36669988223571,106.12555485098288
111.70921279101368,106.41824440619621,106.28190959326025
111.64888123924268,106.29939306096567,106.05054805688921
111.43889845094664,106.16794999547061,105.99864118126642
111.54588277923725,106.12537367515174,105.90932149651236
111.41289971917746,106.03868103994927,105.91629676601141
111.47431832593531,106.00280822538274,105.79454660748256
111.45284898994474,106.03025636380107,105.92825437086692
111.44134432466709,105.94863665187064,105.73566446236072
111.33662469426578,105.93088142041852,105.78412899719177
111.53129812483014,106.05389980976538,105.85297581302655
111.46987951807229,106.09611377842195,105.95923543799258
111.58900262704955,106.11658664734125,105.90424857324032
111.46553129812483,106.0535374581031,105.93251200289882
111.46145484192408,105.95642721260984,105.75305734215056
111.4040221034514,105.98224476854787,105.84862759307909
111.551227466256,106.04130808950086,105.8456381918652
111.47857595796721,106.05761391430383,105.93495787661926
111.58619440166682,106.09611377842195,105.89890388622158
111.38173747622068,105.98505299393061,105.83875351028173
111.45511368783404,105.98296947187245,105.74698795180723
111.50774526678141,106.10589727330374,105.98858592263792
111.60186611106079,106.1449406649153,105.94827430020835
111.53455928979074,106.15970649515354,106.02880695715191
111.58447323127095,106.13515717003352,105.93595434369055
111.43291964851889,106.06105625509556,105.92354379925717
111.44886312165957,105.96938128453664,105.7827701784582
111.39297037775161,105.9345049370414,105.8394782136063
111.40384092762025,105.82217592173204,105.65295769544343
111.31017302291875,105.7710843373494,105.67841289971918
111.30944831959417,105.68756227919195,105.5087417338527
111.20545339251744,105.65830238246218,105.54370866926352
111.34205996920011,105.73484917112057,105.53347223480388
111.32104357278739,105.78458193676964,105.68321405924449
111.39749977353021,105.794456019567,105.57541443971374
111.30446598423771,105.76691729323308,105.65322945919014
111.29332367062234,105.67433644351843,105.45909955611921
111.1857958148383,105.63538363982245,105.51182172298215
111.3631669535284,105.73258447323127,105.52586284989583
111.30872361626959,105.75432557296857,105.63728598604946
111.41842558202735,105.79336896458013,105.58818733580941
111.26542259262614,105.73113506658211,105.59932964942476
111.31977534196938,105.71256454388984,105.48854062868013
111.29033426940846,105.76673611740193,105.62940483739469
111.39994564725066,105.80713832774708,105.58583205000453
111.35157170033517,105.85206993387082,105.70087870278105
111.4370866926352,105.87544161608841,105.65404475043029
111.2301838934686,105.75441616088413,105.58528852251109
111.30211069843283,105.75405380922184,105.5158981791829
111.35093758492617,105.87788748980886,105.71827158257088
111.43636198931063,105.89165685297581,105.66862940483739
111.3839115861944,105.93214965123653,105.78485370051635
111.37530573421506,105.83531116948998,105.62233897998007
111.18171935863755,105.6595706132802,105.54461454841925
111.16432647884773,105.50040764562007,105.30510009964671
111.11867016939941,105.50711115137241,105.388440981973
111.17546879246308,105.47096657305916,105.26632847178186
111.17519702871637,105.52848989944741,105.40556209801612
111.17447232539179,105.45601956698977,105.26533200471057
111.05652685931696,105.41697617537821,105.28000724703324
111.23407917383821,105.5132711296313,105.31524594619077
111.17392879789836,105.53483105353746,105.39577860313435
111.24087326750612,105.52260168493522,105.31968475405381
111.1685841108796,105.51444877253374,105.3800163058248
111.20309810671256,105.4646254189691,105.25790379563367
111.08460911314431,105.41416794999547,105.27946371953982
111.29776247848537,105.55793097200834,105.34794818371229
111.27584020291692,105.60956608388442,105.4789383096295
111.35320228281547,105.6261436724341,105.40737385632757
111.18887580396775,105.55430745538546,105.40728326841199
111.23516622882508,105.51988404746807,105.28843192318145
111.20065223299211,105.59027085786757,105.42594437901984
111.3223118036054,105.6595706132802,105.41788205453392
111.32792825437086,105.72941389618624,105.57713561010961
111.41579853247576,105.74345502309991,105.52015581121478
111.27149198296947,105.67977171845276,105.51798170124106
111.31896005072923,105.67497055892744,105.44288431923181
111.37367515173476,105.79726424494973,105.64308361264607
111.44913488540628,105.82063592716732,105.58882145121841
111.46897363891657,105.89355919920283,105.77633843645258
111.48727239786213,105.85904520336987,105.63031071655041
111.32602590814385,105.75314793006613,105.62070839749977
111.34523054624513,105.6378295135429,105.45384545701603
111.26216142766555,105.59126732493885,105.4996829422955
111.33789292508379,105.55838391158619,105.38690098740828
111.29422954977807,105.58891203913397,105.48582299121297
111.34812935954344,105.55231452124286,105.37068575052088
111.244496784129,105.52613461364254,105.42141498324123
111.37738925627322,105.60476492435909,105.42304556572154
111.32321768276113,105.63148835945285,105.53002989401215
111.43536552223934,105.6705317510644,105.49877706313978
111.35419874988676,105.66346589364979,105.57115680768186
111.34097291421324,105.56092037322222,105.35383639822447
111.26469788930157,105.55684391702147,105.44388078630311
111.43083612646073,105.66364706948093,105.47712655131805
111.38046924540267,105.70649515354651,105.58682851707582
111.49551589817918,105.74698795180723,105.56273213153365
111.37485279463719,105.70540809855966,105.5998731769182
111.4377208080442,105.70441163148836,105.51689464625419
111.44596430836127,105.77969018932875,105.67551408642088
111.51906875622792,105.80106893740376,105.61083431470242
111.45837485279463,105.82915119123109,105.71482924177914
111.5483286529577,105.85596521424041,105.66165413533835
111.38074100914938,105.7729866835764,105.6604764924359
111.43119847812302,105.76130084246762,105.55476039496331
111.44297490714739,105.86683576410907,105.75088323217683
111.55412627955431,105.90578856780506,105.71772805507746
111.51988404746807,105.97101186701694,105.8517981701241
111.54552042757496,105.92481203007519,105.72443156082979
111.4108161971193,105.87399220943927,105.76583023824622
111.41833499411179,105.7710843373494,105.60159434731406
111.3372588096748,105.7211703958692,105.64000362351662
111.40420327928254,105.67044116314884,105.52251109701966
111.36198931062596,105.69634930700245,105.62460367786937
111.36425400851526,105.61817193586376,105.46281366065767
111.29576954434279,105.61690370504574,105.53021106984329
111.43355376392789,105.71618806051272,105.55947096657306
111.34541172207628,105.72479391249207,105.62632484826524
111.49470060693903,105.78811486547694,105.61889663918834
111.42177733490352,105.78947368421052,105.70857867560467
111.45665368239877,105.734124467796,105.57586737929161
111.30872361626959,105.67859407555032,105.58999909412084
111.49107709031615,105.79436543165141,105.62723072742097
111.42621614276655,105.80822538273394,105.72379744542079
111.52196756952623,105.84156173566446,105.65875532204004
111.34975994202374,105.76383730410363,105.64208714557478
111.42839025274029,105.77253374399855,105.58583205000453
111.45710662197664,105.8706404565631,105.76519612283721
111.55149923000272,105.9192861672253,105.73983150647703
111.5226922728508,105.97844007609385,105.88477217139234
111.61563547422774,106.00851526406377,105.8326841199384
111.44931606123743,105.9322402391521,105.82851707582209
111.51988404746807,105.93423317329469,105.74526678141136
111.5015852885225,106.02155992390615,105.9160250022647
111.60023552858048,106.03387988042395,105.86158166500589
111.59516260530845,106.10906785034877,106.02047286891928
111.64779418425582,106.10073376211614,105.92771084337349
111.5379110426669,106.07111151372406,105.97526949904882
111.59978258900263,106.07129268955521,105.88957333091766
