R,G,B
151.59299325954896,141.51843222102022,137.764916368478
151.50162270117335,141.34600981942248,137.49013896979278
151.55904135807606,141.42847632520596,137.6974286427561
151.58375634517768,141.37887992011318,137.54115003744695
151.52833485894982,141.39627194807358,137.62819339269367
151.60838811683448,141.40958641923942,137.5860863776317
151.43679786968463,141.32570525089457,137.5798452192727
151.4673379379213,141.28892402429892,137.4498626945161
151.527086627278,141.43846217858035,137.69476574852294
151.6523258716818,141.4918864941333,137.67046683864524
151.61870683198802,141.51327286344346,137.77440292918365
151.7121577764833,141.51219106266123,137.68960639094615
151.48805858367314,141.3909461596072,137.6564866439211
151.50528418074396,141.3415994008488,137.52201048514604
151.51285678621952,141.43979362569692,137.72663726387617
151.62161937255556,141.47174835649497,137.66580677373722
151.60081551135892,141.53440958641923,137.8026129649663
151.7172339186153,141.5773487559291,137.78172588832487
151.56486643921113,141.50844636764583,137.76008987268037
151.63618207539318,141.51660148123491,137.70192227677458
151.61587750686527,141.55787634184904,137.8359823583257
151.66172921694266,141.5612881750853,137.76275276691354
151.57460264625115,141.568028626113,137.8615294998752
151.6900224681701,141.60472663726387,137.82283431804942
151.4925522176916,141.45327452775234,137.73928601148373
151.43604893068152,141.30115669468253,137.52442373304484
151.42057085795125,141.29841058500458,137.61604393775485
151.5111924773238,141.3061496213697,137.53615711075975
151.4343846217858,141.30207206457519,137.62378297412
151.57393692269287,141.35050345344095,137.6002330032454
151.4115003744695,141.27918781725887,137.59548972289258
151.49646334359656,141.29533161354746,137.52733627361238
151.46792044603478,141.35366564034285,137.66663892818508
151.56270283764667,141.38395606224515,137.62228509611384
151.51402180244654,141.40525921611052,137.7332944994591
151.61612715319964,141.4220687359574,137.66256137139052
151.4690854622618,141.38320712324207,137.69168677706583
151.57510193891986,141.3916950986103,137.63460098194224
151.4814013480902,141.3861196638096,137.71665141050178
151.6751269035533,141.49172006324375,137.73911958059415
151.6287759008072,141.530997753183,137.86860281268204
151.74727469418323,141.56711325622035,137.81334775734376
151.63510027461098,141.54372971623533,137.87051676791214
151.68536240326205,141.50994424565198,137.75268369809436
151.55454772405758,141.48006990097363,137.80236331863193
151.75659482399934,141.60847133227927,137.84546891903136
151.6707997004244,141.61662644586835,137.94590996088874
151.74685861695932,141.587917117417,137.84330531746693
151.54556045602064,141.446783723059,137.79970042439876
151.51285678621952,141.30057418656904,137.57402013813763
151.41982191894814,141.25730215528003,137.61354747441126
151.5915785969876,141.33843721394692,137.62944162436548
151.4640093201298,141.30265457268868,137.67962053757176
151.5328284929683,141.334110010818,137.6194557709911
151.44437047516018,141.3458433885329,137.71149205292502
151.424565199301,141.25921611051012,137.54298077723226
151.31039360905385,141.20587501040194,137.58150952816843
151.44653407672465,141.25963218773404,137.54323042356663
151.33710576683032,141.24831488724308,137.5990679870184
151.4690854622618,141.26762087043355,137.54464508612799
151.3588249979196,141.2567196471665,137.61429641341434
151.37854705833402,141.21070150619954,137.48797536822835
151.25588749271864,141.16501622701173,137.51768328201715
151.46891903137222,141.28909045518847,137.57060830490138
151.34800699009736,141.27519347590913,137.63185487226428
151.46817009236915,141.31705084463675,137.59573936922692
151.39810268785888,141.347757343763,137.70075726054756
151.35907464425398,141.23300324540236,137.50345344095865
151.19713738869933,141.15386535741033,137.51951402180245
151.26695514687526,141.1046018140967,137.39552300907047
151.18906549055504,141.07522676208706,137.4493634018474
151.26720479320963,141.0352001331447,137.3397686610635
151.1714238162603,141.00024964633437,137.38928185071148
151.14820670716486,140.8973121411334,137.17716568195058
