R,G,B
164.28744939271255,147.07916045173664,143.00873641593864
164.11048369912635,147.03579799701683,143.0530577455785
164.2300234391647,147.06669507777542,142.99339441721713
164.0071382910718,146.97528233539313,142.97453654378862
164.05263157894737,146.91988067334327,142.8365650969529
164.12486682292777,147.0676539526955,143.07798849350095
164.25761772853187,147.11229490730875,143.04815682932028
164.19124227572982,147.15544427871296,143.1658853611762
164.22320477306627,147.09695290858727,143.01885787342852
164.0197102066908,146.97517579373536,142.99328787555933
164.26933731088855,147.10419774131685,143.08693799275517
164.11868740677605,147.03750266354143,143.1147453654379
164.2579373535052,147.04091199659067,143.03036437246965
164.10323886639677,146.9727253356062,143.03643724696357
164.13360323886639,146.89825271681227,142.88653313445556
164.0731941189005,146.9331983805668,142.9911570424036
164.2291711059024,146.97411037715747,142.96984871084595
164.1164500319625,146.96643937779672,143.03931387172383
164.2599616450032,147.00617941615172,142.99765608352865
164.0867249094396,146.92637971446837,142.9971233752397
164.13584061367996,146.8871723844023,142.86479863626678
164.15373961218836,146.98593650117195,143.0388877050927
164.34082676326443,147.06722778606436,143.0531642872363
164.241956104837,147.08470061794162,143.14670786277435
164.17440869379928,146.93032175580652,142.92574046452162
164.02812699765607,146.90294054975496,142.94747496271043
164.30833155763904,147.08171745152356,143.0541231621564
164.2319411890049,147.09237161730238,143.16183677818026
164.35531642872363,147.14244619646283,143.11122949073086
164.1877264010228,147.0675474110377,143.12593223950566
164.18985723417856,147.0017046665246,142.9737907521841
164.19379927551674,147.09801832516513,143.13850415512465
164.31163434903047,147.1228425314298,143.11495844875347
164.20104410824632,147.1047304496058,143.1895376092052
164.2239505646708,147.01587470701045,143.03100362241636
164.05071382910717,146.89122096739825,142.95258896228427
164.17568719369274,146.90933304922225,142.91881525676538
164.15800127849988,146.97293841892179,143.06967824419348
164.26912422757297,146.99350095887493,143.0098018325165
164.1705731941189,146.98508416790966,143.07436607713615
164.1497975708502,146.88791817600682,142.88663967611336
164.08587257617728,146.90219475815044,142.96611975282335
164.28276155976988,146.99957383336886,143.01363733219688
164.17302365224802,146.9947794587684,143.07340720221606
164.29671851694013,147.01747283187726,143.0126784572768
164.03910078840826,146.86160238653312,142.9313871723844
164.05156616236948,146.80747922437672,142.78478585126786
164.1920946089921,147.01417004048582,143.0867249094396
164.24184956317922,147.00202429149797,143.00138504155126
164.17813765182186,147.02642233113147,143.09503515874707
164.21681227359898,146.98519070956743,142.974856168762
164.0587044534413,146.91838909013424,142.99754954187088
164.21883656509695,147.03377370551885,143.03633070530577
164.2101001491583,147.08544640954614,143.1490517792457
164.27264010227998,147.0649904112508,143.06562966119753
164.1380779884935,147.03451949712337,143.11570424035799
164.0396334966972,146.87119113573408,142.87119113573408
163.97325804389516,146.83518005540165,142.93160025569998
164.11698274025144,146.86501171958236,142.89484338376306
164.04037928830172,146.8582995951417,142.96089921159174
164.12753036437246,146.85499680375025,142.88120605156615
163.9179629235031,146.7455785212018,142.83613893032177
163.97443000213084,146.718303856808,142.74962710419774
164.06477732793522,146.8790752184104,142.97901129341574
164.17568719369274,146.90762838269762,142.93639463030044
164.0973790752184,146.90933304922225,143.00511399957384
164.08235670147027,146.79565310036224,142.82516513956958
163.88578734285105,146.7059450245046,142.80524184956317
164.1437246963563,146.87236309396974,142.88653313445556
164.08512678457276,146.90240784146602,143.01012145748987
164.18836565096953,146.92030683997444,142.9430002130833
164.02024291497975,146.84679309610058,142.94097592158533
164.0261027061581,146.78670360110803,142.7933091838909
164.03558491370126,146.88909013424248,142.98178137651823
164.19102919241422,146.95780950351588,142.96420200298317
164.14819944598338,147.00564670786278,143.09066695077775
164.1867675261027,146.96420200298317,142.99168975069253
163.98977200085233,146.86692946942253,142.95280204559984
164.027168122736,146.81184743234604,142.83336884721928
163.94566375452803,146.79107180907735,142.8999573833369
164.07362028553163,146.79000639249946,142.83315576390368
164.00479437460046,146.7898998508417,142.9132750905604
163.94449179629234,146.64510973790752,142.68474323460472
163.83166418069464,146.62497336458554,142.73055614745365
164.08864265927977,146.79117835073515,142.83347538887705
164.0524184956318,146.8312380140635,142.9494992542084
164.0949286170893,146.80566801619435,142.84423609631367
163.91178350735137,146.7031749414021,142.8077988493501
163.86692946942253,146.58331557639036,142.6082463243128
163.9277647560196,146.73258043895163,142.82900063924995
164.07351374387386,146.77050926912423,142.79448114212659
163.9847645429363,146.7579373535052,142.87950138504155
163.9901981674835,146.714787982101,142.73353931387172
163.8440230129981,146.6642872363094,142.7579373535052
163.9855103345408,146.72810568932454,142.76379714468356
163.93458342211804,146.7644363946303,142.85361176219902
164.06648199445982,146.81909226507565,142.83422118048156
163.95738333688473,146.8041764329853,142.89665459194546
164.01310462390794,146.75857660345196,142.7760494353292
163.8999573833369,146.77050926912423,142.8383763051353
163.99137012571916,146.74952056253994,142.78734285105477
163.83965480502877,146.68101427658215,142.7986362667803
163.96910291924144,146.6752610270616,142.73598977200086
163.7146814404432,146.50660558278287,142.61943319838056
163.76848497762626,146.45503942041339,142.48433837630515
163.81078201576815,146.592051992329,142.6985936501172
163.90240784146602,146.58352865970593,142.6217771148519
163.85776688685277,146.62486682292777,142.72586831451096
163.87737055188578,146.54719795440016,142.56243341146387
163.61506499041124,146.40389942467505,142.5134242488813
163.8701257191562,146.53846153846155,142.57202216066483
163.87928830172598,146.63008736415938,142.73226081397826
163.9899850841679,146.65107607074367,142.66556573620286
163.7896867675261,146.55614745365438,142.65736202855317
163.86522480289793,146.5153419987215,142.5477306626891
163.87683784359686,146.62657148945237,142.73492435542298
163.97698700191776,146.6552311953974,142.684103984658
163.91945450671213,146.68879181760067,142.80129980822502
163.99414020882165,146.68026848497763,142.700191774984
163.76017472831876,146.5710632857447,142.66940123588324
163.87705092691243,146.58342211804816,142.6153846153846
163.83869593010868,146.65821436181548,142.74770935435757
163.85542297038143,146.6099509908374,142.622735989772
163.7842531429789,146.61399957383338,142.72064777327935
163.71446835712763,146.44076283826976,142.47965054336245
163.53292137225654,146.3212230982314,142.43202642233112
163.82346047304497,146.48337950138503,142.53462603878117
163.7462177711485,146.4709141274238,142.6030257830812
163.85137438738548,146.47933091838908,142.5207756232687
163.65991902834008,146.38333688472193,142.50372895802258
163.66844236096313,146.3267632644364,142.35872576177286
163.76752610270617,146.48849350095887,142.6163434903047
163.87683784359686,146.51310462390794,142.55007457916045
163.7653952695504,146.49392712550608,142.6245471979544
163.78649051779246,146.41668442360964,142.44960579586618
163.60845940762837,146.3474323460473,142.44033667163862
163.8097165991903,146.44012358832305,142.4737907521841
163.70818239931813,146.44726187939483,142.56072874493927
163.84892392925633,146.49563179203068,142.53174941402088
163.78638397613466,146.52759428936713,142.63062007244832
163.74824206264648,146.41572554868955,142.44608992115917
163.71414873215429,146.47624121031322,142.5857660345195
163.88695930108673,146.5694651608779,142.59056040911997
163.7968250585979,146.58086511826124,142.67131898572342
163.9179629235031,146.59887065842744,142.6145322821223
163.65033027913915,146.47006179416152,142.55082037076497
163.64297890475177,146.36181546984872,142.36852759428936
163.63125932239507,146.42179842318347,142.53451949712337
163.73439164713403,146.38930321755805,142.4349030470914
163.68239931813338,146.4051779245685,142.51747283187726
163.65278073726827,146.26880460259963,142.32612401448966
163.39196675900277,146.1245471979544,142.24770935435757
163.60590240784146,146.25047943746006,142.2798849350096
163.62145748987854,146.3239931813339,142.45141700404858
163.69475815043683,146.33858938845088,142.3510547624121
163.51683358193054,146.2625186447901,142.3592584700618
163.56488386959302,146.2120178989985,142.22597485616876
163.52141487321543,146.26124014489665,142.35872576177286
163.71233752397188,146.33145109737907,142.3394417217132
163.64851907095675,146.37289580225868,142.47048796079267
163.66492648625612,146.30257830811848,142.32154272320477
163.52940549754953,146.25420839548264,142.35403792883017
163.5686128276156,146.23066268911145,142.2490943959088
163.61953974003836,146.35616876198594,142.43479650543364
163.75111868740677,146.40464521627956,142.4249946729171
163.65448540379288,146.39772000852332,142.492968250586
163.61165565736204,146.30012784998934,142.2995951417004
163.51193266567228,146.30396334966971,142.38205838482847
163.72725335606222,146.42275729810356,142.41199659066694
