R,G,B
162.88242473555735,145.9879983726607,142.25528885272578
162.66202196908054,145.8922904800651,142.25061025223758
162.74023596419855,145.87205044751832,142.15683482506103
162.76067941415786,145.99979658258746,142.36981285598048
162.85791293734744,146.00050854353134,142.29281936533766
162.78183482506103,146.05726200162735,142.42565093572009
162.84174125305125,146.0342758340114,142.32272172497966
162.69151749389746,145.9677583401139,142.34641985353946
162.9935923515053,146.1619202603743,142.44060211554108
162.9561635475997,146.2353539462978,142.59886086248983
163.02542717656632,146.2342351505289,142.52156224572823
162.89483319772174,146.2139951179821,142.580146460537
162.99959316517493,146.19863710333604,142.4833197721725
162.97762408462165,146.28936126932464,142.6490032546786
163.03773393002442,146.30146460537023,142.6229658258747
162.9786411716843,146.35353946297803,142.7426769731489
163.2149104963385,146.470097640358,142.77308787632222
163.0945890968267,146.43002441008952,142.8047192839707
162.9744711147274,146.28641171684296,142.5875711960944
162.92280309194467,146.32617982099268,142.7280309194467
163.10811635475997,146.41486981285598,142.74054109031732
163.11727013832385,146.50742473555735,142.9113100081367
163.0286818551668,146.34031733116356,142.68592351505288
162.78844589096826,146.2318958502848,142.65195280716028
163.09418226200162,146.42432872253866,142.77125711960943
163.09641985353946,146.50315296989422,142.93246541903986
163.17880390561433,146.5,142.85048820179009
162.95270545158667,146.37306753458097,142.80522782750202
162.9724369406021,146.32251830756712,142.66486981285598
162.94253458096014,146.37947518307567,142.803295362083
163.11310008136695,146.44924735557365,142.8041090317331
163.02563059397883,146.46145240032547,142.91497152156225
163.18012611879576,146.52644426362897,142.90002034174125
162.97345402766476,146.4399918633035,142.88893409275835
162.95128152969895,146.33624898291293,142.70240032546786
162.98087876322214,146.48789666395444,142.9473148901546
163.12876322213182,146.53773393002442,142.92565093572009
163.00162733930026,146.51678193653376,142.97925142392188
162.99725386493083,146.42331163547598,142.8138730675346
162.7432872253865,146.2950569568755,142.77359641985353
163.00650935720097,146.44955248169242,142.836655817738
162.96704637917006,146.49369406021157,142.96674125305125
162.96531733116356,146.42636289666396,142.8430634662327
162.77441008950368,146.33828315703823,142.82597640358014
162.77542717656632,146.24979658258746,142.66151342554923
162.69548413344182,146.26423921887712,142.75854353132627
162.89015459723353,146.35679414157852,142.79414157851912
162.75518714401952,146.33563873067536,142.83970707892595
162.8691008950366,146.34489422294547,142.78559804719285
162.720097640358,146.2927176566314,142.80939788445892
162.66415785191214,146.1510374288039,142.59377542717655
162.6858218063466,146.26708706265256,142.77064686737185
